,Title,Artists,Danceability,Energy,Loudness,Speechiness,Acousticness,Valence,Continent,id,Song URL
50,Blank Space,Taylor Swift,0.76,0.703,-11.540128946198315,0.054,0.103,0.57,Anglo-America,1u8c2t2Cy7UBoG4ArRcF5g,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
51,Hey Mor,"Ozuna, Feid",0.901,0.589,-13.709426411738548,0.289,0.003,0.399,Latin-America,1zsPaEkglFvxjAhrM8yhpr,https://open.spotify.com/track/1zsPaEkglFvxjAhrM8yhpr
52,Frágil,"Yahritza Y Su Esencia, Grupo Frontera",0.605,0.726,-10.044464206313911,0.031,0.365,0.393,Latin-America,4JdSXF2p71cr8uCY3UiJM0,https://open.spotify.com/track/4JdSXF2p71cr8uCY3UiJM0
53,Snow On The Beach (feat. More Lana Del Rey),"Taylor Swift, Lana Del Rey",0.664,0.401,-20.74755446865273,0.034,0.806,0.315,Anglo-America,4zmKGsrXjLmljb5fTaBTot,https://open.spotify.com/track/4zmKGsrXjLmljb5fTaBTot
54,Coco Chanel,"Eladio Carrion, Bad Bunny",0.683,0.764,-12.512227656736329,0.044,0.043,0.137,Latin-America,0PB0O24JqAuNdOAFVJljMS,https://open.spotify.com/track/0PB0O24JqAuNdOAFVJljMS
55,Blinding Lights,The Weeknd,0.514,0.73,-12.41051578479324,0.06,0.001,0.334,Anglo-America,0VjIjW4GlUZAMYd2vXMi3b,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
56,Viva La Vida,Coldplay,0.486,0.617,-14.379724321920854,0.029,0.095,0.417,Europe,1mea3bSkSGXuIRvnydlB5b,https://open.spotify.com/track/1mea3bSkSGXuIRvnydlB5b
57,Mockingbird,Eminem,0.637,0.678,-8.848932859048467,0.266,0.209,0.254,Anglo-America,561jH07mF1jHuk7KlaeF0s,https://open.spotify.com/track/561jH07mF1jHuk7KlaeF0s
58,cardigan,Taylor Swift,0.613,0.581,-16.835815918185858,0.042,0.537,0.551,Anglo-America,4R2kfaDFhslZEMJqAFNpdd,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd
59,Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",0.602,0.91,-8.191974210760343,0.031,0.001,0.228,Europe,3BKD1PwArikchz2Zrlp1qi,https://open.spotify.com/track/3BKD1PwArikchz2Zrlp1qi
60,Heat Waves,Glass Animals,0.761,0.525,-2.527623388172522,0.094,0.44,0.531,Europe,3USxtqRwSYz57Ewm6wWRMp,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
61,Sweater Weather,The Neighbourhood,0.612,0.807,-2.520803690529121,0.034,0.05,0.398,Anglo-America,2QjOHCTQ1Jl3zawyYOpxh6,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
62,Money Trees,"Kendrick Lamar, Jay Rock",0.716,0.531,-14.779902178746106,0.122,0.07,0.344,Anglo-America,2HbKqm4o0w5wEeEFXm2sD4,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
63,Style,Taylor Swift,0.588,0.791,-11.845264562027566,0.04,0.002,0.487,Anglo-America,0ug5NqcwcFR2xrfTkc7k8e,https://open.spotify.com/track/0ug5NqcwcFR2xrfTkc7k8e
64,Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",0.615,0.616,-13.392618941751891,0.062,0.062,0.073,Anglo-America,4i6cwNY6oIUU2XZxPIw82Y,https://open.spotify.com/track/4i6cwNY6oIUU2XZxPIw82Y
65,Tak Segampang Itu,Anggi Marito,0.506,0.438,-14.303023566029346,0.027,0.759,0.178,Asia,26cvTWJq2E1QqN4jyH2OTU,https://open.spotify.com/track/26cvTWJq2E1QqN4jyH2OTU
66,Dandelions,Ruth B.,0.609,0.692,-7.448310360160072,0.026,0.016,0.454,Anglo-America,2eAvDnpXP5W0cVtiI0PUxV,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
67,Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",0.636,0.869,-11.335037794575364,0.041,0.038,0.306,Europe,5eTaQYBE1yrActixMAeLcZ,https://open.spotify.com/track/5eTaQYBE1yrActixMAeLcZ
68,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",0.621,0.782,-11.76689639839929,0.044,0.013,0.55,Latin-America,2tTmW7RDtMQtBk7m2rYeSw,https://open.spotify.com/track/2tTmW7RDtMQtBk7m2rYeSw
